User_Profile,Date,Content,Like,Place,Content_tags,Comment_tags,imgs
hyejuz_z,2020-12-1,"한 달도 안 남은 반오십,,마무리 잘하쟈!",9,,[],"['#인스타그램', '#instagram', '#f', '#fff', '#f4f', '#인친', '#like', '#피드', '#좋아요반사', '#좋반', '#ootd', '#오오티디', '#셀카', '#셀피', '#selca', '#selfie', '#소통', '#좋아요', '#소확행', '#성수동', '#전시회', '#뚝섬미술관', '#여행갈까요', '#친스타그램']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128273205_292184248838232_8937206369669292842_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=i3Dxp0Fu3KsAX_cSotx&tp=1&oh=da377bb13283adcb97970ec57b536cae&oe=5FEEE6FD
mishura_official,2020-12-1,.21 S/S도 넘 기대되네요🧡,1,성수동어느건물,[],"['#성수', '#성수동', '#일상', '#데일리', '#미슈라', '#수제화', '#슈스타그램', '#ss준비', '#인친', '#팔로우', '#소통', '#좋아요', '#dailylook']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/128271449_296848014953994_2734776723962640458_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=r5MO6-lCLS8AX_VcIsw&tp=1&oh=29f15f6343dc24ce4d54b04a071c51c4&oe=5FF02505
wonny_0512,2020-12-1,에이플랫#에이플랫 #스튜디오 #촬영 #일상 #피곤 #일해라 #노예 #성수동,3,,"['#에이플랫', '#스튜디오', '#촬영', '#일상', '#피곤', '#일해라', '#노예', '#성수동']","['#에이플랫', '#스튜디오', '#촬영', '#일상', '#피곤', '#일해라', '#노예', '#성수동']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128445035_469876007323854_5421869965981276686_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=tQ_FWNlZAawAX_w8QRD&tp=1&oh=8a927cc76e0f6c7cd40d70708ae5cd64&oe=5FEE19DF
bn10_04,2020-12-1,젤리펌과 히피펌 그 중간의 42 💛,0,에르아룸,[],"['#성수동', '#성수동미용실', '#에르아룸', '#eraroom', '#뚝섬역미용실', '#젤리펌', '#히피펌', '#손질편한머리', '#긴머리웨이브', '#여자머리', '#여자머리맛집']",
nailskinbom,2020-12-1,"회원님들이 주신선물들🎁💕그동안못올렸어용ㅜ 이것보다 더더더더더 많은데 사진못찍었어용 😂서운해하지말아주세용🙏🏻네일스킨봄회원님들 항상감사합니다♥️————————————————— ⠀▪ 예약문의: 02-498-9191⠀▪️당일 예약가능▪️주차 가능▪️3인 동시시술 가능▪️반려동물 동반가능▪️노쇼고객은 다음예약 안되세요❌▪️가격문의는 전화,카톡,디엠으로는어려우세요~예약후방문하시면 상담후 맞춤시술해드립니다:) ——————————————————✔️네일스킨봄은 코로나예방을위해 방역 및 소독관리에 더욱신경쓰고있습니다 매장방문시 마스크착용부탁드립니다 우리모두의 건강을 위해 양해부탁드립니다#건대네일#성수네일#꽃#꽃다발#선물#성수동#성수동맛집#손젤",159,,"['#건대네일', '#성수네일', '#꽃', '#꽃다발', '#선물', '#성수동', '#성수동맛집', '#손젤']","['#건대네일', '#성수네일', '#꽃', '#꽃다발', '#선물', '#성수동', '#성수동맛집', '#손젤']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128401605_782010455991504_1115888733077272101_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=y2pmG0Lq4kEAX8f_G0r&tp=1&oh=4ecf4a06bd3409ab74cdc6f8ef79362a&oe=5FF11910
oh.rinzy,2020-12-1,"사심 한가득.. 넘 귀여운 코지 울코트,,신상품 할인기간동안 만나보세요오~~~👀🤍",9,,[],"['#청주', '#대전', '#천안', '#부산', '#부산카페', '#대구', '#대구카페', '#서울', '#서울숲', '#을지로', '#성수동', '#여수', '#광주', '#강릉', '#겨울', '#겨울여행', '#겨울신상', '#히피펌', '#겨울', '#겨울코트', '#울코트', '#겨울코디', '#데일리', '#좋아요', '#맞팔', '#오오티디', '#데일리룩', '#dailylook', '#daily', '#ootd']",
_heyv_____,2020-12-1,즐거운 #촬영,4,,['#촬영'],['#촬영'],https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128257135_679846532662231_5298009989350728062_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=zBPFMlCHEZkAX8iPoLp&tp=1&oh=bea419a9b355c03d6781934ad8d9f662&oe=5FEFD255
kunz_coffee,2020-12-1,부드러운 바디감이 가득한 블랙조커 원두를 핸드드립 해봤어요👋Special coffee only for you오직 당신만을 위한 특별한 커피국제 바리스타 교육 #SCA #큐그레이더 #원두납품 #카페창업 www.kunz.co.kr,4,,"['#SCA', '#큐그레이더', '#원두납품', '#카페창업']","['#쿤츠커피', '#로스터리카페', '#서울숲카페', '#성수동카페', '#국제바리스타', '#SCA', '#핸드드립', '#로스팅', '#원두', '#원두판매', '#원두납품', '#브루잉', '#카페창업', '#성수동', '#서울숲', '#홈카페', '#필쏘굿', '#커피', '#coffee', '#Kunz', '#분위기좋은카페', '#아메리카노', '#라떼', '#맛집', '#베이커리']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128663613_389268872283444_2431444262158186696_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=rOF1fly-Y5kAX8Su20K&tp=1&oh=3adada07ab6b7b178bcdabf76deb4f24&oe=5FF0700B
plantlance_seongsu,2020-12-1,X mate table low캘리더의 마지막 장을 열었습니다.이제 곧 나이 한살 더 먹나요😂COVID19로 불안한 마음도 있지만우리는 또 우리의 일상을 열심히 지내보려 합니다.자작나무의 결을 그대로 살린메이트 테이블도 컬러 선택이 자유롭습니다.깊은 컬러와 나무의 조합이 따뜻해요.행운을 부르는 이름...#플랜트란스성수,27,,['#플랜트란스성수'],['#플랜트란스성수'],https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128724251_1087568631706835_43842296252275708_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Zqk8FfZETV8AX8CTu54&tp=1&oh=822db3594fd48d5f7fb06cbbbdf676c5&oe=5FED6E1C
ahnseongjin_,2020-12-1,🐶🤍,11,그라운드시소 성수,[],[],https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128198478_3674542185943407_7674612211420033033_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=97rpRF7F-LwAX8fvO64&tp=1&oh=dff8d28d030d21c6ec5eeb9cdab1806d&oe=5FEE3A7E
