User_Profile,Date,Content,Like,Place,Content_tags,Comment_tags,imgs
huegang,2020-12-1,"ㅤㅤㅤㅤ🎬20년 12월 [장편] 상영작:::::메인예고편:::::ㅤ2. 【 웰컴 투 X-월드 】ㅤ연출 한태의출연 #한태의 #최미경 #한흥만ㅤㅤ엄마는 왜 아빠가 돌아가신 후에도 시월드에서 나오지 않는 걸까?ㅤㅤ 구로동 집에는 나, 엄마 그리고 친할아버지가 산다. 12년 전 아빠가 돌아가신 후에도 엄마는 시아버지를 모시고 산다. 희생하는 엄마를 보고 자란 나는 결혼이 싫다.⠀ㅤㅤ◢◤◢◤◢◤◢◤◢◤⠀ㅤㅤ📣문의☞DM or 010-9640-0987📣상영관&상영작 정보☞HUEGANG.COMㅤㅤㅤ#어느가족 #에듀케이션 #웰컴투X월드 #자체휴강시네마 #영화 #독립영화 #단편영화 #독립영화관 #신림 #낙성대 #봉천동 #인헌동 #영화스타그램 #일상 #movie #무비스타그램 #moviestagram #혼영",0,,"['#한태의', '#최미경', '#한흥만ㅤㅤ엄마는', '#어느가족', '#에듀케이션', '#웰컴투X월드', '#자체휴강시네마', '#영화', '#독립영화', '#단편영화', '#독립영화관', '#신림', '#낙성대', '#봉천동', '#인헌동', '#영화스타그램', '#일상', '#movie', '#무비스타그램', '#moviestagram', '#혼영']","['#한태의', '#최미경', '#한흥만ㅤㅤ엄마는', '#어느가족', '#에듀케이션', '#웰컴투X월드', '#자체휴강시네마', '#영화', '#독립영화', '#단편영화', '#독립영화관', '#신림', '#낙성대', '#봉천동', '#인헌동', '#영화스타그램', '#일상', '#movie', '#무비스타그램', '#moviestagram', '#혼영']",
min.eunoia,2020-12-1,일년만 기다리면 이렇게 길어질까?,3,서울대입구역,[],"['#셀스타그램', '#셀카', '#셀피', '#데일리룩', '#데일리', '#미니멀룩', '#신림', '#서울대입구', '#selfie', '#selca', '#selstagram', '#ootd', '#daily', '#dailylook', '#minimalstyle', '#fashion', '#fashionstyle', '#koreanstyle']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/129101656_462985191332643_3086691287743119343_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=hK54dlxD3VkAX_UdEru&tp=1&oh=de5be3da3ff77e386fcfe40c4e0f0aa8&oe=5FEE92B1
huegang,2020-12-1,ㅤㅤㅤㅤ🎬20년 12월 [장편] 상영작:::::메인예고편:::::ㅤ1. 【 어느 가족 】ㅤ연출 #고레에다히로카즈출연 #릴리프랭키 #안도사쿠라 #마츠오카마유 #키키키린 #죠카이리 #사사키미유ㅤㅤ 할머니의 연금과 물건을 훔쳐 생활하며 가난하지만 웃음이 끊이지 않는 어느 가족.ㅤ 우연히 길 위에서 떨고 있는 한 소녀를 발견하고 집으로 데려와 가족처럼 함께 살게 된다.ㅤ 그런데 뜻밖의 사건으로 가족이 뿔뿔이 흩어지게 되고 각자 품고 있던 비밀과 간절한 바람이 드러나게 되는데… ⠀ㅤㅤ◢◤◢◤◢◤◢◤◢◤⠀ㅤㅤ📣문의☞DM or 010-9640-0987📣상영관&상영작 정보☞HUEGANG.COMㅤㅤㅤ#어느가족 #에듀케이션 #웰컴투X월드 #자체휴강시네마 #영화 #독립영화 #단편영화 #독립영화관 #신림 #낙성대 #봉천동 #인헌동 #영화스타그램 #일상 #movie #무비스타그램 #moviestagram #혼영,0,,"['#고레에다히로카즈출연', '#릴리프랭키', '#안도사쿠라', '#마츠오카마유', '#키키키린', '#죠카이리', '#사사키미유ㅤㅤ', '#어느가족', '#에듀케이션', '#웰컴투X월드', '#자체휴강시네마', '#영화', '#독립영화', '#단편영화', '#독립영화관', '#신림', '#낙성대', '#봉천동', '#인헌동', '#영화스타그램', '#일상', '#movie', '#무비스타그램', '#moviestagram', '#혼영']","['#고레에다히로카즈출연', '#릴리프랭키', '#안도사쿠라', '#마츠오카마유', '#키키키린', '#죠카이리', '#사사키미유ㅤㅤ', '#어느가족', '#에듀케이션', '#웰컴투X월드', '#자체휴강시네마', '#영화', '#독립영화', '#단편영화', '#독립영화관', '#신림', '#낙성대', '#봉천동', '#인헌동', '#영화스타그램', '#일상', '#movie', '#무비스타그램', '#moviestagram', '#혼영']",
_.jye_,2020-12-1,2020. 12. 01. TUE.사진 재탕 주의근데 아무도 모를듯 🙃오랜만에 순댕이 가서김치 뿌시고 바지락 뿌시고피씨방이라는곳을 가서회원가입을 하고충전을 하고롤이라는걸 해보려고회원가입을 하고튜토리얼 끝내고사천성을 했따역시 나는 사천성이 맞아 하하 ☺️☺️.#독산동 #순댕이네얼큰수제비 #겉절이맛집#피씨방 #롤 #못해먹겠어 #사천성 #짱.,3,,"['#독산동', '#순댕이네얼큰수제비', '#겉절이맛집', '#피씨방', '#롤', '#못해먹겠어', '#사천성', '#짱.']","['#독산동', '#순댕이네얼큰수제비', '#겉절이맛집', '#피씨방', '#롤', '#못해먹겠어', '#사천성', '#짱.']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/129050381_715242412756322_7619198011654330682_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Mhg1ITXhD-sAX8Jmk5o&tp=1&oh=e63757dd43e27934142752d2af4d94fc&oe=5FF08102
j._.iniiiii,2020-12-1,🎂Thank you for with me.,2,,[],"['#파티룸', '#신림', '#신림맛집', '#파티룸마루', '#신림마루', '#신림파티룸', '#서울파티룸', '#스페이스클라우드', '#서울', '#생일파티', '#대구', '#파티룩', '#파자마파티', '#데일리그램', '#일상', '#파자마룩', '#거울샷', '#팔로우', '#좋아요', '#선팔', '#맞팔', '#셀스타그램', '#셀카', '#셀피', '#selfie', '#일상스타그램']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/129060058_162331795621677_2244833563310177846_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=UkRFvkz3NE4AX8vbnJS&tp=1&oh=11748766c8bbd38eed43189425666ac6&oe=5FEDDE58
from.bora_nail,2020-12-1,"제가 좋아하는 진주빛 글리터, 은은하니 여리여리하게 시럽 색상이랑 찰떡 궁합이그든요(*ฅ́˘ฅ̀*)♡ 매 타임마다 매장 소독 진행하고있어요! 마스크 착용 후 방문 부탁드릴게요🤍",8,프롬보라,[],"['#신림', '#신림네일', '#신림맛집', '#가산맛집', '#가산네일', '#금천구', '#금천구맛집', '#l4l', '#f4f', '#좋아요', '#좋반', '#소통', '#오오티디', '#ootd', '#dailylook', '#일상', '#selstagram', '#여행', '#selca', '#selfie', '#likeforlikes', '#안양', '#인천', '#인친', '#좋반', '#시럽네일', '#글리터네일']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128248645_390800212066917_524277052906268255_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=CkG_8Gj_adAAX9UHATF&tp=1&oh=600a9c14b1b8942ac49fea4afdf8ee58&oe=5FEFF3CD
mkrnet85,2020-12-1,"날씨가 참 많이 추워졌어요-마음만큼은 따뜻해져요 우리...😊라인업은 매일 달라요😊🌈오늘의 마카롱🌈🍵제주녹차 =2,000원🐄순수우유 =2,000원🍓딸기큐브케이크 =2,500원🍋레몬크림치즈 =2,500원🧆인절미쑥절미 =2,500원🥞크렘브륄레 =2,500원(BEST)💎로얄얼그레이 =2,500원🧀황치즈리츠 =2,500원🐷돼지바 =2,500원🍞쿠크다스 =2,500원☕이탈리아티라미슈 =2,500원🍫몰티져스초코 =2,500원..🍡쫀득꼬끄후레이크🥛수제밀크티..🎂생과일마카롱케이크 =35,000원❤랜덤마카롱14개(생과일은 계절과일로 변동될수있어요)❤초와 토퍼는 랜덤입니다🙂❤마카롱케이크는 매장에서 픽업하시면 되세요😉..🧊배달의민족 배달 가능해요~마카롱놀이터 검색 후 주문하세요.😉🧊마카롱 택배발송가능합니다.  꼼꼼히포장해서발송해드려요.🧊최소주문단위는 6개부터 입니다 :)🧊🧊택배비+보냉아이스포장=4,500원입니다🧊..#캐릭터마카롱#수제마카롱#촉촉쫀득#많이달지않은마카롱#신림#신림마카롱#신림맛집#보라매마카롱#상도동마카롱#신림디저트까페#마카롱#뚱카롱#마카롱놀이터#소상공인화이팅#선한영향력#초록우산어린이재단#좋아요#댓글#힘나요",5,,"['#캐릭터마카롱', '#수제마카롱', '#촉촉쫀득', '#많이달지않은마카롱', '#신림', '#신림마카롱', '#신림맛집', '#보라매마카롱', '#상도동마카롱', '#신림디저트까페', '#마카롱', '#뚱카롱', '#마카롱놀이터', '#소상공인화이팅', '#선한영향력', '#초록우산어린이재단', '#좋아요', '#댓글', '#힘나요']","['#캐릭터마카롱', '#수제마카롱', '#촉촉쫀득', '#많이달지않은마카롱', '#신림', '#신림마카롱', '#신림맛집', '#보라매마카롱', '#상도동마카롱', '#신림디저트까페', '#마카롱', '#뚱카롱', '#마카롱놀이터', '#소상공인화이팅', '#선한영향력', '#초록우산어린이재단', '#좋아요', '#댓글', '#힘나요']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128490101_749942739269338_7442410682363838970_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=3wZpLv143yAAX8Cedxr&tp=1&oh=dc15452047a203dca3ac458520d9ba43&oe=5FF03AE3
so_dooyeon,2020-12-1,2021년에는 내가 짱먹을거야#우리가족#정민오빠도,36,,"['#우리가족', '#정민오빠도']","['#우리가족', '#정민오빠도']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/128265575_778368952750459_275764317153215324_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=TYp47M_I0AsAX9uDbdh&tp=1&oh=3b36740af9e1a206ec658c0e4420d8a0&oe=5FED8C25
kkoki3798,2020-12-1,12월 한달 해독프로젝트!!1월엔 사이즈축소되서 2021년 맞이 하고싶다는 고객님😁 면역강화+다이어트 구성으로 알차게 구매하셨어요💕 10번 반칙하더라도 한달 든든히 채워줄만큼의 영양소 구비해두셨으니 걱정마시구 달려보자구욤~^^*🐎🐎🐎🐎🐎ㅡ#12월 #2021 #건강미녀,38,,"['#12월', '#2021', '#건강미녀']","['#12월', '#2021', '#건강미녀']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128418463_1138895346529381_6718442757203769339_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=mNk6DgAnQB0AX94pcDB&tp=1&oh=7f06d2c91117b77c458c15c925586ed5&oe=5FEECB1F
gangseongun303,2020-12-1,#일상 #Daily #life #일상소통 #일상스타그램 #일상사진 #일상기록 #일상공유 #일상샷 #서울 #서울대입구 #신림 #신림동 #대학동 #bestoftheday #사진작가놀이 #사진스타그램 #엔제리너스 #카페코코다 #카페 #카페스타그램 #행복 #lifeisgood #좋반 #좋팔 #팔로우 #❤,3,,"['#일상', '#Daily', '#life', '#일상소통', '#일상스타그램', '#일상사진', '#일상기록', '#일상공유', '#일상샷', '#서울', '#서울대입구', '#신림', '#신림동', '#대학동', '#bestoftheday', '#사진작가놀이', '#사진스타그램', '#엔제리너스', '#카페코코다', '#카페', '#카페스타그램', '#행복', '#lifeisgood', '#좋반', '#좋팔', '#팔로우', '#❤']","['#일상', '#Daily', '#life', '#일상소통', '#일상스타그램', '#일상사진', '#일상기록', '#일상공유', '#일상샷', '#서울', '#서울대입구', '#신림', '#신림동', '#대학동', '#bestoftheday', '#사진작가놀이', '#사진스타그램', '#엔제리너스', '#카페코코다', '#카페', '#카페스타그램', '#행복', '#lifeisgood', '#좋반', '#좋팔', '#팔로우', '#❤']",https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e35/128419756_162131455586179_4927514937459730802_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=bVGGDe1Y1O4AX_ioaWR&tp=1&oh=ce7421886c6512b7753464afc04507fc&oe=5FEF17F4
